BID	SPECIES_KR	OBSERVE_LEVEL_TXT	OBSERVE_LEVEL	ARRIVAL_TYPE	ORDER_KR	FAMILY_KR	SPECIES_EN	ORDER_EN	FAMILY_EN	SPECIES_SN	ORDER_SN	FAMILY_SN	PROTECTION_LV	IUCN	CITES	NATURAL_MONUMENT	EXTINCTION_KR
31	청둥오리	아주흔함	1	겨울철새	기러기목	오리과	Mallard	ORDER ANSERIFORMES	Family Anatidae	Anas platyrhynchos	ORDER ANSERIFORMES	Family Anatidae	nan	IUCN-LC	NA	NA	NA
218	쇠오리-쇠오리[아종]	아주흔함	1	겨울철새	기러기목	오리과	Common Teal[Teal]	ORDER ANSERIFORMES	Family Anatidae	Anas crecca crecca	ORDER ANSERIFORMES	Family Anatidae	IUCN-LCCITES-CITES3급	NA	NA	NA	NA
306	고방오리	흔함	2	겨울철새	기러기목	오리과	Northern Pintail[Pintail]	ORDER ANSERIFORMES	Family Anatidae	Anas acuta	ORDER ANSERIFORMES	Family Anatidae	IUCN-LCCITES-CITES3급	IUCN-LC	NA	NA	NA
305	흰뺨오리	흔함	2	겨울철새	기러기목	오리과	Common Goldeneye[Goldeneye]	ORDER ANSERIFORMES	Family Anatidae	Bucephala clangula	ORDER ANSERIFORMES	Family Anatidae	IUCN-LC	IUCN-LC	NA	NA	NA
220	홍머리오리	흔함	2	겨울철새	기러기목	오리과	Eurasian Wigeon[Wigeon	ORDER ANSERIFORMES	Family Anatidae	Anas penelope	ORDER ANSERIFORMES	Family Anatidae	IUCN-LCCITES-CITES3급	IUCN-LC	NA	NA	NA
255	황오리	흔함	2	겨울철새	기러기목	오리과	Ruddy Shelduck	ORDER ANSERIFORMES	Family Anatidae	Tadorna ferruginea	ORDER ANSERIFORMES	Family Anatidae	IUCN-LC	IUCN-LC	NA	NA	NA
355	바다비오리	흔함	2	겨울철새	기러기목	오리과	Red-breasted Merganser	ORDER ANSERIFORMES	Family Anatidae	Mergus serrator	ORDER ANSERIFORMES	Family Anatidae	IUCN-LC	NA	NA	NA	NA
32	알락오리	흔함	2	겨울철새	기러기목	오리과	Gadwall	ORDER ANSERIFORMES	Family Anatidae	Anas strepera	ORDER ANSERIFORMES	Family Anatidae	nan	IUCN-LC	NA	NA	NA
297	검은머리흰죽지	흔함	2	겨울철새	기러기목	오리과	Greater Scaup	ORDER ANSERIFORMES	Family Anatidae	Aythya marila	ORDER ANSERIFORMES	Family Anatidae	IUCN-LC	IUCN-LC	NA	NA	NA
254	흰뺨검둥오리	흔함	2	텃새	기러기목	오리과	Spot-billed Duck[Spotbill Duck]	ORDER ANSERIFORMES	Family Anatidae	Anas poecilorhyncha	ORDER ANSERIFORMES	Family Anatidae	IUCN-LC	IUCN-VU	NA	NA	NA
63	원앙	흔함	2	텃새	기러기목	오리과	Mandarin Duck	ORDER ANSERIFORMES	Family Anatidae	Aix galericulata	ORDER ANSERIFORMES	Family Anatidae	천연기념물-제327호	IUCN-LC	NA	NA	NA
213	혹부리오리	흔함	2	겨울철새	기러기목	오리과	Common Shelduck[Shelduck]	ORDER ANSERIFORMES	Family Anatidae	Tadorna tadorna	ORDER ANSERIFORMES	Family Anatidae	IUCN-LC	IUCN-LC	NA	NA	NA
309	흰죽지	흔함	2	겨울철새	기러기목	오리과	Common Pochard[Pochard]	ORDER ANSERIFORMES	Family Anatidae	Aythya ferina	ORDER ANSERIFORMES	Family Anatidae	IUCN-LC	IUCN-LC	NA	NA	NA
143	비오리	흔함	2	겨울철새	기러기목	오리과	Common Merganser[Goosander]	ORDER ANSERIFORMES	Family Anatidae	Mergus merganser	ORDER ANSERIFORMES	Family Anatidae	IUCN-LC	IUCN-LC	NA	NA	NA
189	쇠기러기	흔함	2	겨울철새	기러기목	오리과	Greater White-fronted Goose[White-fronted Goose]	ORDER ANSERIFORMES	Family Anatidae	Anser albifrons	ORDER ANSERIFORMES	Family Anatidae	IUCN-LC	IUCN-LC	NA	NA	NA
282	넓적부리	흔함	2	겨울철새	기러기목	오리과	Northern Shoveler[Shoveler]	ORDER ANSERIFORMES	Family Anatidae	Anas clypeata	ORDER ANSERIFORMES	Family Anatidae	IUCN-LCCITES-CITES3급	NA	CITES-1	NA	NA
181	큰기러기-큰기러기[아종]	흔함	2	겨울철새	기러기목	오리과	Tundra Bean Goose	ORDER ANSERIFORMES	Family Anatidae	Anser (fabalis) serrirostris	ORDER ANSERIFORMES	Family Anatidae	멸종위기-멸종위기2급IUCN-LC	NA	NA	NA	NA
169	청머리오리	흔함	2	겨울철새	기러기목	오리과	Falcated Teal[Falcated Duck]	ORDER ANSERIFORMES	Family Anatidae	Anas falcata	ORDER ANSERIFORMES	Family Anatidae	IUCN-NT	NA	NA	NA	NA
79	댕기흰죽지	흔함	2	겨울철새	기러기목	오리과	Tufted Duck	ORDER ANSERIFORMES	Family Anatidae	Aythya fuligula	ORDER ANSERIFORMES	Family Anatidae	IUCN-LC	IUCN-LC	NA	NA	NA
406	큰기러기-큰부리큰기러기[아종]	흔하지않음	3	겨울철새	기러기목	오리과	Taiga Bean Goose	ORDER ANSERIFORMES	Family Anatidae	Anser (fabalis) middendorffi	ORDER ANSERIFORMES	Family Anatidae	멸종위기-멸종위기 2급IUCN-LC	IUCN-LC	NA	NA	2
113	발구지	흔하지않음	3	나그네새	기러기목	오리과	Garganey	ORDER ANSERIFORMES	Family Anatidae	Anas querquedula	ORDER ANSERIFORMES	Family Anatidae	IUCN-LCCITES-CITES3급	IUCN-LC	NA	NA	NA
209	혹고니	드묾	4	겨울철새	기러기목	오리과	Mute Swan	ORDER ANSERIFORMES	Family Anatidae	Cygnus olor	ORDER ANSERIFORMES	Family Anatidae	멸종위기-멸종위기1급천연기념물-제201-3호IUCN-LC	IUCN-LC	NA	NA	NA
206	호사비오리	드묾	4	겨울철새	기러기목	오리과	Scaly-sided Merganser[Chinese Merganser]	ORDER ANSERIFORMES	Family Anatidae	Mergus squamatus	ORDER ANSERIFORMES	Family Anatidae	멸종위기-멸종위기2급천연기념물-제448호IUCN-EN	IUCN-LC	NA	NA	NA
407	흰이마기러기	드묾	4	겨울철새	기러기목	오리과	Lesser White-fronted Goose	ORDER ANSERIFORMES	Family Anatidae	Anser erythropus	ORDER ANSERIFORMES	Family Anatidae	멸종위기-멸종위기2급IUCN-VU	IUCN-LC	NA	NA	NA
13	흑기러기	드묾	4	겨울철새	기러기목	오리과	Black Brant[Brent	ORDER ANSERIFORMES	Family Anatidae	Branta bernicla	ORDER ANSERIFORMES	Family Anatidae	멸종위기-멸종위기2급천연기념물-제325-2호IUCN-LC	IUCN-LC	NA	NA	NA
264	흰기러기	드묾	4	겨울철새	기러기목	오리과	Snow Goose	ORDER ANSERIFORMES	Family Anatidae	Chen caerulescens [Anser caerulescens]	ORDER ANSERIFORMES	Family Anatidae	IUCN-LC	IUCN-LC	NA	NA	NA
411	캐나다기러기	드묾	4	겨울철새	기러기목	오리과	Cackling Goose	ORDER ANSERIFORMES	Family Anatidae	Branta hutchinsii	ORDER ANSERIFORMES	Family Anatidae	CITES-CITES 1급	NA	NA	NA	NA
418	검은흰죽지(가칭)	아주드묾	5	미조	기러기목	오리과	Ferruginous Duck[Ferruginous Pochard]	ORDER ANSERIFORMES	Family Anatidae	Aythya nyroca	ORDER ANSERIFORMES	Family Anatidae	IUCN-NT	IUCN-LC	CITES-3	NA	NA
415	붉은부리흰죽지	아주드묾	5	겨울철새	기러기목	오리과	Red-crested Pochard	ORDER ANSERIFORMES	Family Anatidae	Netta rufina	ORDER ANSERIFORMES	Family Anatidae	nan	IUCN-LC	CITES-3	NA	NA
419	붉은가슴흰죽지	아주드묾	5	겨울철새	기러기목	오리과	Baer's Pochard	ORDER ANSERIFORMES	Family Anatidae	Aythya baeri	ORDER ANSERIFORMES	Family Anatidae	IUCN-VU	IUCN-LC	NA	NA	NA
420	바다꿩	아주드묾	5	겨울철새	기러기목	오리과	Oldsquaw[Long-tailed Duck]	ORDER ANSERIFORMES	Family Anatidae	Clangula hyemalis	ORDER ANSERIFORMES	Family Anatidae	IUCN-LC	IUCN-LC	NA	NA	NA
413	아메리카홍머리오리	매우드묾	6	겨울철새	기러기목	오리과	American Wigeon	ORDER ANSERIFORMES	Family Anatidae	Anas americana	ORDER ANSERIFORMES	Family Anatidae	nan	IUCN-LC	NA	NA	NA
409	흰머리기러기	희귀	7	미조	기러기목	오리과	Emperor Goose	ORDER ANSERIFORMES	Family Anatidae	Chen canagica [Anser canagicus]	ORDER ANSERIFORMES	Family Anatidae	nan	IUCN-LC	CITES-3	NA	NA
